country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Argentina,ARG,2021-01-21 00:00:00,265724,249372,16352,17791,11704,0.59,0.55,0.04,259,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-22 00:00:00,279602,254456,25146,13878,11263,0.62,0.56,0.06,249,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-23 00:00:00,288064,258876,29188,8462,11124,0.64,0.57,0.06,246,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-24 00:00:00,292023,260036,31987,3959,10342,0.65,0.58,0.07,229,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-25 00:00:00,292386,260122,32264,363,9046,0.65,0.58,0.07,200,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-26 00:00:00,305880,266969,38911,13494,9626,0.68,0.59,0.09,213,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-27 00:00:00,318033,272323,45710,12153,10014,0.7,0.6,0.1,222,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-28 00:00:00,327999,276548,51451,9966,8896,0.73,0.61,0.11,197,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-29 00:00:00,344034,278451,65583,16035,9205,0.76,0.62,0.15,204,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-30 00:00:00,366384,281023,85361,22350,11189,0.81,0.62,0.19,248,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Austria,AUT,2021-01-18 00:00:00,61012,60708,304,5562,7065,0.68,0.67,0,784,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,2021-01-19 00:00:00,71508,70474,1034,10496,8334,0.79,0.78,0.01,925,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,2021-01-20 00:00:00,88895,86888,2007,17387,9833,0.99,0.96,0.02,1092,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,2021-01-21 00:00:00,108252,105038,3214,19357,11270,1.2,1.17,0.04,1251,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,2021-01-22 00:00:00,124756,121216,3540,16504,12144,1.39,1.35,0.04,1348,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,2021-01-23 00:00:00,136348,132105,4243,11592,12278,1.51,1.47,0.05,1363,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,2021-01-24 00:00:00,139538,135249,4289,3190,12013,1.55,1.5,0.05,1334,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,2021-01-25 00:00:00,141350,137044,4306,1812,11477,1.57,1.52,0.05,1274,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,2021-01-26 00:00:00,150933,146587,4346,9583,11346,1.68,1.63,0.05,1260,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,2021-01-27 00:00:00,158985,153859,5126,8052,10013,1.77,1.71,0.06,1112,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,2021-01-28 00:00:00,169439,163806,5633,10454,8741,1.88,1.82,0.06,971,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,2021-01-29 00:00:00,181419,174262,7157,11980,8095,2.01,1.93,0.08,899,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,2021-01-30 00:00:00,197179,183628,13551,15760,8690,2.19,2.04,0.15,965,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,2021-01-31 00:00:00,200498,185291,15207,3319,8709,2.23,2.06,0.17,967,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,2021-02-01 00:00:00,202345,186479,15866,1847,8714,2.25,2.07,0.18,968,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,2021-02-02 00:00:00,208988,189926,19062,6643,8294,2.32,2.11,0.21,921,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,2021-02-03 00:00:00,222520,194287,28233,13532,9076,2.47,2.16,0.31,1008,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Belgium,BEL,2021-01-18 00:00:00,130490,130381,109,10173,14000,1.13,1.12,0,1208,Moderna, Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-19 00:00:00,149008,148718,290,18518,14443,1.29,1.28,0,1246,Moderna, Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-20 00:00:00,169148,168436,712,20140,14410,1.46,1.45,0.01,1243,Moderna, Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-21 00:00:00,197855,197143,712,28707,15436,1.71,1.7,0.01,1332,Moderna, Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-22 00:00:00,226205,225462,743,28350,16285,1.95,1.95,0.01,1405,Moderna, Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-23 00:00:00,233750,233000,750,7545,16652,2.02,2.01,0.01,1437,Moderna, Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-24 00:00:00,235594,234844,750,1844,16468,2.03,2.03,0.01,1421,Moderna, Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-25 00:00:00,246049,245299,750,10455,16508,2.12,2.12,0.01,1424,Moderna, Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-26 00:00:00,257100,254992,2108,11051,15442,2.22,2.2,0.02,1332,Moderna, Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-27 00:00:00,271475,266428,5047,14375,14618,2.34,2.3,0.04,1261,Moderna, Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-28 00:00:00,290995,279618,11377,19520,13306,2.51,2.41,0.1,1148,Moderna, Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-29 00:00:00,307798,289401,18397,16803,11656,2.66,2.5,0.16,1006,Moderna, Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-30 00:00:00,311459,290790,20669,3661,11101,2.69,2.51,0.18,958,Moderna, Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-31 00:00:00,312303,291340,20963,844,10958,2.69,2.51,0.18,946,Moderna, Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-02-01 00:00:00,317614,294106,23508,5311,10224,2.74,2.54,0.2,882,Moderna, Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-02-02 00:00:00,327095,296950,30145,9481,9999,2.82,2.56,0.26,863,Moderna, Pfizer/BioNTech,Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Bulgaria,BGR,2021-01-18 00:00:00,19638,18524,1114,1185,782,0.28,0.27,0.02,113,Moderna, Pfizer/BioNTech,Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-19 00:00:00,22226,19058,3168,2588,921,0.32,0.27,0.05,133,Moderna, Pfizer/BioNTech,Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-20 00:00:00,24127,19834,4293,1901,1013,0.35,0.29,0.06,146,Moderna, Pfizer/BioNTech,Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-21 00:00:00,25251,20719,4532,1124,1081,0.36,0.3,0.07,156,Moderna, Pfizer/BioNTech,Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-22 00:00:00,26101,21496,4605,850,1139,0.38,0.31,0.07,164,Moderna, Pfizer/BioNTech,Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-23 00:00:00,26119,21509,4610,18,1112,0.38,0.31,0.07,160,Moderna, Pfizer/BioNTech,Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-24 00:00:00,26143,21533,4610,24,1099,0.38,0.31,0.07,158,Moderna, Pfizer/BioNTech,Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-25 00:00:00,26798,22129,4669,655,1023,0.39,0.32,0.07,147,Moderna, Pfizer/BioNTech,Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-26 00:00:00,29122,23667,5455,2324,985,0.42,0.34,0.08,142,Moderna, Pfizer/BioNTech,Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-27 00:00:00,32917,25245,7672,3795,1256,0.47,0.36,0.11,181,Moderna, Pfizer/BioNTech,Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-28 00:00:00,37636,26753,10883,4719,1769,0.54,0.39,0.16,255,Moderna, Pfizer/BioNTech,Ministry of Health,https://coronavirus.bg/bg/statistika
Bulgaria,BGR,2021-01-29 00:00:00,40805,27856,12949,3169,2101,0.59,0.4,0.19,302,Moderna, Pfizer/BioNTech,Ministry of Health,https://coronavirus.bg/bg/statistika
